TaskID,TaskLink,ChallengeID,ChallengeLink,TaskName,TaskStatus,TaskPriority,MappedOn,CompletionTime,Mapper,ReviewStatus,Reviewer,ReviewedAt,ReviewTimeSeconds,AdditionalReviewers,Comments,BundleId,IsBundlePrimary,Tags
120115376,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115376]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2628385","Fixed","High",2021-11-14T17:52:09.150+01:00,68378,"Thibault Rommel",,"",,"","","","","",""
120115379,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115379]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630016","Fixed","High",2021-11-14T17:59:11.792+01:00,41113,"Thibault Rommel",,"",,"","","","","",""
120115380,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115380]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630120","Fixed","High",2021-11-14T17:33:23.291+01:00,123435,"Thibault Rommel",,"",,"","","","","",""
120115381,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115381]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630147","Fixed","High",2021-11-14T17:53:20.200+01:00,70877,"Thibault Rommel",,"",,"","","","","",""
120115382,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115382]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630180","Fixed","High",2021-11-14T17:56:40.460+01:00,39030,"Thibault Rommel",,"",,"","","","","",""
120115383,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115383]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630346","Not_An_Issue","High",2021-11-14T17:30:46.313+01:00,96152,"Thibault Rommel",,"",,"","","Thibault Rommel: kan onmogelijk een B1   GIa ""150m"" of B3 ""150m"" zijn, verderop staat een B5","","",""
120115384,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115384]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630536","Fixed","High",2021-11-14T17:41:35.266+01:00,47369,"Thibault Rommel",,"",,"","","Thibault Rommel: opstelling staat op verkeerde plaats   verkeerd georiënteerd ","","",""
120115385,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115385]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2631043","Fixed","High",2021-11-14T18:06:49.317+01:00,134134,"Thibault Rommel",,"",,"","","","","",""
120115386,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115386]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2631233","Fixed","High",2021-11-14T18:12:11.614+01:00,47914,"Thibault Rommel",,"",,"","","","","",""
120115387,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115387]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2631781","Already_Fixed","High",2021-11-14T17:26:15.763+01:00,80493,"joost schouppe",,"",,"","","","","",""
