bordId;xcoord_v2;ycoord_v2;bordcode;parameters_v2;name
2628535;166423,2425;207886,493099999;C43;"neen|C43|[""400"",""Neen"",""30""]|";Speed limit
2628933;157492,310099997;208671,590100002;C43;"neen|C43|[""400"",""Neen"",""50""]|";Speed limit
2628994;162827,972499996;180884,156500001;C43;Neen|50;Speed limit
2628995;162812,910099998;180906,219099998;C43;Neen|70;Speed limit
2629000;163321,441299997;181215,3127;C43;Neen|50;Speed limit
2629006;156730,476499997;177701,616500001;C43;Neen|50;Speed limit
2629781;147581,375100002;193370,593699999;C43;Neen|50;Speed limit
2630075;79745,3300999999;194782,880100001;C43;Neen|50;Speed limit
2630095;80421,5900999978;194648,110100001;C43;Neen|50;Speed limit
2630097;80350,5401000008;194700,600099999;C43;Neen|50;Speed limit
2630100;80361,2000999972;194688,3301;C43;Neen|50;Speed limit
2630189;82943,1701000035;193917,030099999;C43;Neen|50;Speed limit
2630352;81350,4900999963;194243,2601;C43;Neen|50;Speed limit
2631872;44821,5001000017;169949,375100002;C43;Neen|50;Speed limit
2634018;44834,8125;169992,0781;C43;Neen|50;Speed limit
2635782;103423,341700003;187150,906100001;C43;50;Speed limit
2636627;234906,625100002;208916,375100002;C43;Neen|70;Speed limit
2636741;235548,125100002;206661,750100002;C43;Neen|70;Speed limit
2637190;235548,125100002;206661,750100002;C43;Neen|70;Speed limit
2637210;234906,625100002;208916,375100002;C43;Neen|70;Speed limit
2637907;207749,750500001;168652,585700002;C43;50;Speed limit
2638013;207729,594099998;168598,804499999;C43;50;Speed limit
2638367;207776,437899999;168857,741900001;C43;Neen|50;Speed limit
2638450;56501,7400999963;193499,800099999;C43;Neen|50;Speed limit
2638454;56055,4100999981;193031,180100001;C43;Neen|50;Speed limit
2628996;163331,191299997;181201,1877;C45;50;End of speed limit
2630081;79744,9100999981;194791,680100001;C45;50;End of speed limit
2634024;44810,3751000017;169956,765700001;C45;50;End of speed limit
2635691;103433,4705;187148,799699999;C45;50;End of speed limit
2628327;81864,557099998;192988,897100002;C5; ;Motorcars prohibited
2637303;156759,770099998;229832,270100001;C5-C7; ;Motorcars and motorcycles prohibited
2622093;249823,375100002;161263,125100002;C6; ;Quads prohibited
2632919;76274,6875;200554,375100002;D10; ;Pedestrian and bicycle path
2632920;76274,6875;200554,375100002;D10; ;Pedestrian and bicycle path
2622164;250431,625100002;161013,625100002;F101c; ;"End of access only for pedestrians; cyclists; horses and agricultural"
2637279;156850,800099999;229869,730099998;F101c; ;"End of access only for pedestrians; cyclists; horses and agricultural"
2633964;70063,5100999996;211782,327500001;F103;met opschrift|UITGEZONDERD
LADEN EN LOSSEN
VAN 6U TOT 11U
EN VAN 19U TOT 21U;Pedestrian zone
2634028;70083,2725000009;211792,245099999;F103;met opschrift|UITGEZONDERD
LADEN EN LOSSEN
VAN 6U TOT 11U
EN VAN 19U TOT 21U;Pedestrian zone
2634031;70101,4474999979;211776,577500001;F103;met opschrift|UITGEZONDERD
LADEN EN LOSSEN
VAN 6U TOT 11U
EN VAN 19U TOT 21U;Pedestrian zone
2634033;70133,2101000026;211800,870099999;F103;met opschrift|UITGEZONDERD
LADEN EN LOSSEN
VAN 6U TOT 11U
EN VAN 19U TOT 21U;Pedestrian zone
2626377;103236,238899998;190905,267099999;F11; ;End trunk road
2626989;173929,146899998;182447,210299999;F111; ;Bicycle road
2626992;173965,3345;182404,585299999;F111; ;Bicycle road
2626993;173987,396899998;182294,522700001;F111; ;Bicycle road
2626997;173984,271899998;182291,022700001;F111; ;Bicycle road
2627001;173855,896899998;182123,772700001;F111; ;Bicycle road
2627029;177139,396899998;182004,960299999;F111; ;Bicycle road
2627049;177287,928099997;181957,929099999;F111; ;Bicycle road
2627070;176580,271899998;182939,460299999;F111; ;Bicycle road
2627077;176884,9595;183544,835299999;F111; ;Bicycle road
2627148;176012,8345;183880,460299999;F111; ;Bicycle road
2627154;176267,0845;183532,522700001;F111; ;Bicycle road
2627164;176098,7095;183821,147700001;F111; ;Bicycle road
2627166;176090,8345;183843,085299999;F111; ;Bicycle road
2627176;176226,396899998;184168,897700001;F111; ;Bicycle road
2627177;176235,396899998;184172,272700001;F111; ;Bicycle road
2627181;176280,396899998;184250,397700001;F111; ;Bicycle road
2627182;173283,4595;184784,085299999;F111; ;Bicycle road
2627183;173274,4595;184778,022700001;F111; ;Bicycle road
2627186;172829,4595;184584,460299999;F111; ;Bicycle road
2627187;172869,9595;184600,710299999;F111; ;Bicycle road
2627188;172790,2095;184571,460299999;F111; ;Bicycle road
2627191;172802,8345;184581,897700001;F111; ;Bicycle road
2627192;172861,021899998;184604,335299999;F111; ;Bicycle road
2627193;173046,146899998;184668,960299999;F111; ;Bicycle road
2627194;173028,896899998;184674,460299999;F111; ;Bicycle road
2627195;173051,646899998;184690,210299999;F111; ;Bicycle road
2627202;172698,7095;184495,897700001;F111; ;Bicycle road
2627206;173129,8345;184708,897700001;F111; ;Bicycle road
2627207;173138,3345;184703,897700001;F111; ;Bicycle road
2627208;173857,9595;184969,272700001;F111; ;Bicycle road
2627211;173477,9595;185026,022700001;F111; ;Bicycle road
2627214;174238,428099997;185261,054099999;F111; ;Bicycle road
2627280;176285,031300001;181859,093699999;F111; ;Bicycle road
2627318;173886,6875;182710,093699999;F111; ;Bicycle road
2627340;174782,250100002;182832,781300001;F111; ;Bicycle road
2627343;174795,125100002;182796,156300001;F111; ;Bicycle road
2627350;174845,250100002;182674,968699999;F111; ;Bicycle road
2627358;174623,750100002;183703,218699999;F111; ;Bicycle road
2627364;174742,875100002;183077,281300001;F111; ;Bicycle road
2627365;174737,000100002;183067,843699999;F111; ;Bicycle road
2627368;174739,6875;183024,781300001;F111; ;Bicycle road
2627369;174734,8125;183046,781300001;F111; ;Bicycle road
2627379;176926,125100002;183352,906300001;F111; ;Bicycle road
2628437;176597,781300001;181929,4375;F111; ;Bicycle road
2631663;69129,0324999988;211916,8125;F111; ;Bicycle road
2631664;69119,4701000005;211927,500100002;F111; ;Bicycle road
2631713;69051,0951000005;211942,718699999;F111; ;Bicycle road
2631734;68624,5324999988;212185,218699999;F111; ;Bicycle road
2631745;68544,6574999988;212370,718699999;F111; ;Bicycle road
2631753;68541,2824999988;212353,343699999;F111; ;Bicycle road
2631779;68812,188699998;212507,5625;F111; ;Bicycle road
2631782;68802,688699998;212492,0625;F111; ;Bicycle road
2631790;68779,0925000012;212398,607500002;F111; ;Bicycle road
2631792;68768,3425000012;212375,7951;F111; ;Bicycle road
2631802;68796,7801000029;212293,1701;F111; ;Bicycle road
2631826;68789,813699998;212317,3125;F111; ;Bicycle road
2631841;69009,188699998;212216,4375;F111; ;Bicycle road
2631842;69030,313699998;212203,1875;F111; ;Bicycle road
