;id;traffic_sign_code;extra_text;traffic_sign_description;date_installed;locatie_x;locatie_y
2271;2967389;C43;Neen,50;Speed limit;12/10/2022;240120.0;204389.5
2274;2967406;C43;Neen,50;Speed limit;12/10/2022;241464.0;204396.75
2276;2967411;C43;Neen,50;Speed limit;12/10/2022;241465.25;204385.0
2277;2967445;C43;Neen,50;Speed limit;11/10/2022;242011.125;204456.125
2278;2967447;C43;Neen,50;Speed limit;11/10/2022;242008.625;204469.0
2279;2967458;C43;Neen,50;Speed limit;12/10/2022;240556.75;204404.5
2280;2967459;C43;Neen,50;Speed limit;12/10/2022;240555.0;204417.5
2282;2967641;C43 | B9;Neen,90;Speed limit|Priority road;12/10/2022;218446.563;181502.625
2287;2969827;F4a;;Speed limit zone;09/10/2022;155533.375;178687.562
2288;2969829;F4b;;End of speed limit zone;09/10/2022;155535.594;178684.656
2290;2970472;F12a;;Living street;10/10/2022;103726.312;192482.52
2292;2970504;B1 | D1f | M12 | Reflecterende koker;;Give way;10/10/2022;103794.609;192488.428
2297;2972924;B9 | C43;Neen,70;Priority road|Speed limit;11/10/2022;84753.524;173950.085
2299;2972944;C1;;One-way street;11/10/2022;84782.03;173936.7
2300;2972947;C1;;One-way street;11/10/2022;84777.72;173931.02
2302;2972974;C43 | B9;Neen,70;Speed limit|Priority road;11/10/2022;84762.49;173961.31
2303;2972977;B5 | D1a;;Stop sign;11/10/2022;84767.82;173925.17
2304;2972982;B5 | D1e;;Stop sign;11/10/2022;84802.89;173902.94
2305;2972983;C1;;One-way street;11/10/2022;84802.89;173902.94
2306;2972988;F13 | B9 | C43;2,rechtdoor,rechtdoor en links,volle lijn|Neen,50;Priority road|Speed limit;11/10/2022;84814.29;173891.11
2309;2973044;F13 | C43 | B9;2,rechtdoor,rechtdoor en links,volle lijn|Neen,50;Speed limit|Priority road;11/10/2022;84806.54;173885.52
2310;2973055;C1;;One-way street;11/10/2022;84803.48;173882.82
2312;2973061;C1;;One-way street;11/10/2022;84783.53;173896.42
2314;2973075;D1a | B5;;Stop sign;11/10/2022;84759.62;173919.94
2315;2973079;C1;;One-way street;11/10/2022;84763.77;173929.72
2316;2973110;B1;;Give way;11/10/2022;84622.199;174036.71
2317;2973112;B1;;Give way;11/10/2022;84623.348;174038.249
2318;2973122;B1;;Give way;11/10/2022;84599.75;174044.64
2319;2973129;B1;;Give way;11/10/2022;84621.042;174077.19
2320;2973140;C43 | B9;Neen,70;Speed limit|Priority road;11/10/2022;84632.41;174042.64
2321;2973164;C11 | C43 | B9;Neen,70;Bicycles prohibited|Speed limit|Priority road;11/10/2022;84633.27;174034.03
2326;2975856;B1 | C43 (zone);"ja,C43,[""400"",""Neen"",""50""],";Give way;08/08/2022;182723.5;187856.969
2327;2975858;F45b | C43 (zone);"neen,C43,[""400"",""Neen"",""50""],";No exit, except for bicycle;08/08/2022;182715.875;187847.031
2328;2975873;M3 | F1a | C3 | XX;Aarschot,|Uitgezonderd plaatselijk  verkeer;Except for bicycles and mopeds|All vehicles prohibited;12/08/2022;182441.18;187828.93
2329;2976183;C43 | F45;Neen,50|Geen;Speed limit|No exit;09/08/2022;186647.531;190209.156
2330;2977244;C21 | GIV;3|UITGEZONDERD,PLAATSELIJKE BEDIENING;Weight limit;09/08/2022;103381.723;192239.261
2331;2977271;C21 | GIV;3|UITGEZONDERD,PLAATSELIJKE BEDIENING;Weight limit;09/08/2022;103404.57;192228.031
2334;2977761;B5;;Stop sign;12/05/2022;221977.125;179109.688
2337;2978187;F27 | F49;S343,A49;Pedestrian crossing;11/01/2022;103843.406;194453.406
2339;2978210;B1;;Give way;09/05/2022;103245.939;192919.339
2342;2978226;B1;;Give way;09/05/2022;103118.761;192931.276
2346;2978240;B1;;Give way;09/05/2022;103222.046;192924.68
